NO,Population,Lat,Long,BC,Year1,Year2,Species,Ancestry,Dataset,Individual No.,Desc.,Genotype Count,CC Count,CT Count,TT Count,p,q,p+q (test),p_freq,q_freq,2pq (CT freq.),p^2+2pq+q^2 (test)
23,Serbia_9000BC-8001BC,22.2106,44.5959,9000,-9000,-8001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,Ancient anatomically modern humans (AAMH) collected from Serbia. Collection sites: Padina;Vlasac. Time: 9000BC-8001BC,aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
60,Great_Britain_8000BC-7001BC,-2.01544,50.9192,8000,-8000,-7001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,5,"Ancient anatomically modern humans (AAMH) collected from Great_Britain. Collection sites: Canada Farm, Sixpenny Handley, Dorset, England;River Thames Skulls, Syon Reach, London, England;Windmill Fields, Stockton-on-Tees, North Yorkshire,England;Achavanich",aa:0;ag:0;gg:5,5,0,0,1,0,1,1,0,0,1
22,Serbia_8000BC-7001BC,22.1106,44.5959,8000,-8000,-7001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,3,Ancient anatomically modern humans (AAMH) collected from Serbia. Collection sites: Padina. Time: 8000BC-7001BC,aa:0;ag:0;gg:3,3,0,0,1,0,1,1,0,0,1
47,Germany_7000BC-6001BC,9.04,48.06,7000,-7000,-6001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,"Ancient anatomically modern humans (AAMH) collected from Germany. Collection sites: Falkenstein-H?hle, Swabian Jura, Baden-W?rttemberg, ;Irlbach, County of Straubing-Bogen, Bavaria;Worms-Herrnsheim, Rhineland-Palatinate. Time: 7000BC-6001BC",aa:0;ag:1;gg:1,1,1,0,0.75,0.25,1,0.5625,0.0625,0.375,1
58,Great_Britain_7000BC-6001BC,-0.434355,54.202,7000,-7000,-6001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,"Ancient anatomically modern humans (AAMH) collected from Great_Britain. Collection sites: Staxton Beacon, Staxton,England;Windmill Fields, Stockton-on-Tees, North Yorkshire,England;Great Orme Mines, Llandudno, North Wales. Time: 7000BC-6001BC",aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
73,Latvia_7000BC-6001BC,25.4333,56.2833,7000,-7000,-6001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,Ancient anatomically modern humans (AAMH) collected from Latvia. Collection sites: Zvejnieki. Time: 7000BC-6001BC,aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
21,Serbia_7000BC-6001BC,22.0106,44.5959,7000,-7000,-6001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,Ancient anatomically modern humans (AAMH) collected from Serbia. Collection sites: Padina;Vlasac;Lepenski Vir. Time: 7000BC-6001BC,aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
62,Ukraine_7000BC-6001BC,35.039,48.3,7000,-7000,-6001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,Ancient anatomically modern humans (AAMH) collected from Ukraine. Collection sites: Vasil'evka. Time: 7000BC-6001BC,aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
28,Czech_Republic_6000BC-5001BC,15.8139,50.274,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,"Ancient anatomically modern humans (AAMH) collected from Czech_Republic. Collection sites: Lochenice;Prague 5, Jinonice, Butovick? Street. Time: 6000BC-5001BC",aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
45,Germany_6000BC-5001BC,10.895,48.33,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,8,"Ancient anatomically modern humans (AAMH) collected from Germany. Collection sites: Augsburg Sportgel?nde, Augsburg, Bavaria;Hugo-Eckener-Stra?e, Augsburg, Bavaria;Irlbach, County of Straubing-Bogen, Bavaria;Landau an der Isar, Bavaria;Manching-Oberstimm,",aa:1;ag:1;gg:6,6,1,1,0.8125,0.1875,1,0.66015625,0.03515625,0.3046875,1
55,Great_Britain_6000BC-5001BC,-1.76,51.24,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,"Ancient anatomically modern humans (AAMH) collected from Great_Britain. Collection sites: Flying School, Netheravon, Wiltshire, England;Nr. Ablington, Figheldean, England;Thurston Mains, Innerwick, East Lothian, Scotland;Neale's Cave, Paington, Devon, Eng",aa:0;ag:1;gg:1,1,1,0,0.75,0.25,1,0.5625,0.0625,0.375,1
79,Laos_6000BC-5001BC,103.496,18.4818,6000,-6000,5001,Ancient anatomically modern humans (AAMH),SoutheastAsia,AAMH.SoutheastAsia,1,Ancient anatomically modern humans (AAMH) collected from Laos. Collection sites: Pha Faen. Time: 6000BC-5001BC,aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
72,Latvia_6000BC-5001BC,25.3333,56.2833,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,Ancient anatomically modern humans (AAMH) collected from Latvia. Collection sites: Zvejnieki. Time: 6000BC-5001BC,aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
2,Romania_6000BC-5001BC,22.722,44.517,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,Ancient anatomically modern humans (AAMH) collected from Romania. Collection sites: Ostrovul Corbului;Schela Cladovei. Time: 6000BC-5001BC,aa:0;ag:0;gg:2,2,0,0,1,0,1,1,0,0,1
13,Russia_6000BC-5001BC,35.65,61.65,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,"Ancient anatomically modern humans (AAMH) collected from Russia. Collection sites: Yuzhnyy Oleni Ostrov, Karelia. Time: 6000BC-5001BC",aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
20,Serbia_6000BC-5001BC,22.3033,44.6403,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,8,Ancient anatomically modern humans (AAMH) collected from Serbia. Collection sites: Hadu_ka Vodenica;Padina;Vlasac. Time: 6000BC-5001BC,aa:0;ag:0;gg:8,8,0,0,1,0,1,1,0,0,1
46,The_Netherlands_6000BC-5001BC,5.09618,52.7336,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,"Ancient anatomically modern humans (AAMH) collected from The_Netherlands. Collection sites: De Tuithoorn, Oostwoud, Noord-Holland. Time: 6000BC-5001BC",aa:0;ag:0;gg:2,2,0,0,1,0,1,1,0,0,1
51,Turkey_6000BC-5001BC,29.5667,40.3,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,10,"Ancient anatomically modern humans (AAMH) collected from Turkey. Collection sites: Barc_n, Marmara Region, Northwest Anatolia;Barc_n. Time: 6000BC-5001BC",aa:3;ag:0;gg:7,7,0,3,0.7,0.3,1,0.49,0.09,0.42,1
59,Ukraine_6000BC-5001BC,33.7649,48.9142,6000,-6000,-5001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,Ancient anatomically modern humans (AAMH) collected from Ukraine. Collection sites: Dereivka;Vasil'evka. Time: 6000BC-5001BC,aa:0;ag:0;gg:2,2,0,0,1,0,1,1,0,0,1
16,Bulgaria_5000BC-4001BC,25.8834,43.1609,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,4,Ancient anatomically modern humans (AAMH) collected from Bulgaria. Collection sites: Dzhulyunitsa;Ohoden;Samovodene;Yabalkovo;Malak Preslavets;Krepost. Time: 5000BC-4001BC,aa:0;ag:1;gg:3,3,1,0,0.875,0.125,1,0.765625,0.015625,0.21875,1
24,Croatia_5000BC-4001BC,18.57,45.86,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,Ancient anatomically modern humans (AAMH) collected from Croatia. Collection sites: Beli Manastir-Popova zemlja;Kargadur;Zemunica Cave. Time: 5000BC-4001BC,aa:0;ag:0;gg:2,2,0,0,1,0,1,1,0,0,1
27,Czech_Republic_5000BC-4001BC,14.3667,50.0504,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,10,"Ancient anatomically modern humans (AAMH) collected from Czech_Republic. Collection sites: Prague 5, Jinonice, Butovick? Street;Prague 8, Kobylisy, Ke St?rce Street;Kn_?eves;Moravsk? Nov? Ves;Velk? P_?lepy. Time: 5000BC-4001BC",aa:3;ag:1;gg:6,6,1,3,0.65,0.35,1,0.4225,0.1225,0.455,1
43,Germany_5000BC-4001BC,11.0467,51.9958,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,8,"Ancient anatomically modern humans (AAMH) collected from Germany. Collection sites: Halberstadt-Sonntagsfeld;Viesenhaeuser Hof, Stuttgart-Muehlhausen;Unterwiederstedt;Karsdorf;Alburg-Lerchenhaid, Spedition H?ring, Stkr. Straubing, Bavaria;Augsburg Sportge",aa:0;ag:2;gg:6,6,2,0,0.875,0.125,1,0.765625,0.015625,0.21875,1
53,Great_Britain_5000BC-4001BC,-1.77,51.16,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,34,"Ancient anatomically modern humans (AAMH) collected from Great_Britain. Collection sites: Amesbury Down, Wiltshire, England;Central Flying School, Upavon, Wiltshire, England;Flying School, Netheravon, Wiltshire, England;Dryburn Bridge, East Lothian, Scotl",aa:6;ag:3;gg:25,25,3,6,0.779411765,0.220588235,1,0.607482699,0.04865917,0.343858131,1
67,Hungary_5000BC-4001BC,20.4023,47.1916,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,10,"Ancient anatomically modern humans (AAMH) collected from Hungary. Collection sites: T?r?kszentmikl?s, road 4, site 3;Tiszasz_l_s-Domah?za;Als?ny?k-B?tasz?k, M?rn?ki telep;L?nycs?k, Gata-Csatola;Als?ny?k-B?tasz?k, site 11;Hajd?n?n?s-Eszl?ri ?t;Mez_k?vesd-M",aa:2;ag:2;gg:6,6,2,2,0.7,0.3,1,0.49,0.09,0.42,1
71,Latvia_5000BC-4001BC,25.1333,56.4833,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,6,Ancient anatomically modern humans (AAMH) collected from Latvia. Collection sites: Zvejnieki. Time: 5000BC-4001BC,aa:0;ag:0;gg:6,6,0,0,1,0,1,1,0,0,1
74,Macedonia_5000BC-4001BC,21.35,41.9,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,"Ancient anatomically modern humans (AAMH) collected from Macedonia. Collection sites: Govrlevo, Sopi_te, Skopje. Time: 5000BC-4001BC",aa:0;ag:1;gg:0,0,1,0,0.5,0.5,1,0.25,0.25,0.5,1
1,Romania_5000BC-4001BC,23.9003,44.2627,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,Ancient anatomically modern humans (AAMH) collected from Romania. Collection sites: Carcea;Co_atcu;Ostrovul Corbului;M_gura Buduiasca. Time: 5000BC-4001BC,aa:1;ag:0;gg:0,0,0,1,0,1,1,0,1,0,1
12,Russia_5000BC-4001BC,35.65,61.65,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,1,"Ancient anatomically modern humans (AAMH) collected from Russia. Collection sites: Yuzhnyy Oleni Ostrov, Karelia;Lebyanzhinka, Sok River, Samara. Time: 5000BC-4001BC",aa:0;ag:0;gg:1,1,0,0,1,0,1,1,0,0,1
17,Serbia_5000BC-4001BC,19.75,44.9,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,9,"Ancient anatomically modern humans (AAMH) collected from Serbia. Collection sites: Gomolava, Hrtkovci, Vojvodina;Saraorci-Jezava;Vlasac;Hadu_ka Vodenica;Padina;Lepenski Vir. Time: 5000BC-4001BC",aa:0;ag:0;gg:9,9,0,0,1,0,1,1,0,0,1
33,Spain_5000BC-4001BC,-3.11649,42.6282,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,4,"Ancient anatomically modern humans (AAMH) collected from Spain. Collection sites: El Prado de Pancorbo, Burgos;La Brana-Arintero, Leon;Els Trocs. Time: 5000BC-4001BC",aa:1;ag:0;gg:3,3,0,1,0.75,0.25,1,0.5625,0.0625,0.375,1
42,Sweden_5000BC-4001BC,15.046,58.535,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,6,"Ancient anatomically modern humans (AAMH) collected from Sweden. Collection sites: Motala, Kanaljorden. Time: 5000BC-4001BC",aa:1;ag:0;gg:5,5,0,1,0.833333333,0.166666667,1,0.694444444,0.027777778,0.277777778,1
44,The_Netherlands_5000BC-4001BC,5.09618,52.7336,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,6,"Ancient anatomically modern humans (AAMH) collected from The_Netherlands. Collection sites: De Tuithoorn, Oostwoud, Noord-Holland. Time: 5000BC-4001BC",aa:0;ag:2;gg:4,4,2,0,0.833333333,0.166666667,1,0.694444444,0.027777778,0.277777778,1
48,Turkey_5000BC-4001BC,29.65,40.26,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,"Ancient anatomically modern humans (AAMH) collected from Turkey. Collection sites: Mentese;Barc_n, Marmara Region, Northwest Anatolia. Time: 5000BC-4001BC",aa:1;ag:0;gg:1,1,0,1,0.5,0.5,1,0.25,0.25,0.5,1
57,Ukraine_5000BC-4001BC,33.5649,48.9142,5000,-5000,-4001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,3,"Ancient anatomically modern humans (AAMH) collected from Ukraine. Collection sites: Dereivka;Volniensky, Vilnianka;Vovnigi. Time: 5000BC-4001BC",aa:0;ag:1;gg:2,2,1,0,0.833333333,0.166666667,1,0.694444444,0.027777778,0.277777778,1
4,Austria_4000BC-3001BC,16.58,48.6667,4000,-4000,-3001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,Ancient anatomically modern humans (AAMH) collected from Austria. Collection sites: Kleinhadersdorf Flur Marchleiten;Schletz. Time: 4000BC-3001BC,aa:1;ag:0;gg:1,1,0,1,0.5,0.5,1,0.25,0.25,0.5,1
14,Bulgaria_4000BC-3001BC,25.8834,43.2609,4000,-4000,-3001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,2,Ancient anatomically modern humans (AAMH) collected from Bulgaria. Collection sites: Dzhulyunitsa;Ivanovo;Smyadovo;Sushina;Yunatsite;Varna. Time: 4000BC-3001BC,aa:0;ag:0;gg:2,2,0,0,1,0,1,1,0,0,1
30,France_4000BC-3001BC,7.52,47.56,4000,-4000,-3001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,7,"Ancient anatomically modern humans (AAMH) collected from France. Collection sites: H?genheim Necropole, Haut-Rhin;Mondelange, PAC de la Sente, Moselle;Rouffach, Haut-Rhin;Sierentz, Les Villas d'Aurele, Haut-Rhin;Marlens, Sur les Barmes, Haute-Savoie;Villa",aa:0;ag:0;gg:7,7,0,0,1,0,1,1,0,0,1
41,Germany_4000BC-3001BC,11.0467,51.8958,4000,-4000,-3001,Ancient anatomically modern humans (AAMH),WestEurasia,AAMH,4,"Ancient anatomically modern humans (AAMH) collected from Germany. Collection sites: Halberstadt-Sonntagsfeld;Karsdorf;Viesenhaeuser Hof, Stuttgart-Muehlhausen;Irlbach, County of Straubing-Bogen, Bavaria;Weichering, Bavaria. Time: 4000BC-3001BC",aa:0;ag:2;gg:2,2,2,0,0.75,0.25,1,0.5625,0.0625,0.375,1
